t,dayofweek,weekend,y_t_3,y_t_2,y_t_1,y_t
4,1,0,0,0,0,0
5,1,0,0,0,0,0
6,1,0,0,0,0,0
7,1,0,0,0,0,0
8,1,0,0,0,0,0
9,1,0,0,0,0,0
10,1,0,0,0,0,0
11,1,0,0,0,0,0
12,1,0,0,0,0,0
13,1,0,0,0,0,0
14,1,0,0,0,0,0
15,1,0,0,0,0,0
16,1,0,0,0,0,0
17,1,0,0,0,0,0
18,1,0,0,0,0,0
19,1,0,0,0,0,0
20,1,0,0,0,0,0
21,1,0,0,0,0,0
22,1,0,0,0,0,0
23,1,0,0,0,0,0
24,1,0,0,0,0,0
25,1,0,0,0,0,0
26,1,0,0,0,0,0
27,1,0,0,0,0,0
28,1,0,0,0,0,0
29,1,0,0,0,0,0
30,1,0,0,0,0,0
31,1,0,0,0,0,0
32,1,0,0,0,0,0
33,1,0,0,0,0,0
34,1,0,0,0,0,0
35,1,0,0,0,0,0
36,1,0,0,0,0,0
37,1,0,0,0,0,0
38,1,0,0,0,0,0
39,1,0,0,0,0,0
40,1,0,0,0,0,0
41,1,0,0,0,0,0
42,1,0,0,0,0,0
43,1,0,0,0,0,0
44,1,0,0,0,0,0
45,1,0,0,0,0,1
46,1,0,0,0,1,1
47,1,0,0,1,1,1
48,1,0,1,1,1,1
49,1,0,1,1,1,0
50,1,0,1,1,0,0
51,1,0,1,0,0,0
52,1,0,0,0,0,0
53,1,0,0,0,0,0
54,1,0,0,0,0,0
55,1,0,0,0,0,0
56,1,0,0,0,0,0
57,1,0,0,0,0,0
58,1,0,0,0,0,0
59,1,0,0,0,0,0
60,1,0,0,0,0,0
61,1,0,0,0,0,0
62,1,0,0,0,0,0
63,1,0,0,0,0,0
64,1,0,0,0,0,0
65,1,0,0,0,0,1
66,1,0,0,0,1,1
67,1,0,0,1,1,1
68,1,0,1,1,1,1
69,1,0,1,1,1,1
70,1,0,1,1,1,1
71,1,0,1,1,1,1
72,1,0,1,1,1,0
73,1,0,1,1,0,0
74,1,0,1,0,0,0
75,1,0,0,0,0,0
76,1,0,0,0,0,0
77,1,0,0,0,0,0
78,1,0,0,0,0,0
79,1,0,0,0,0,0
80,1,0,0,0,0,1
81,1,0,0,0,1,1
82,1,0,0,1,1,1
83,1,0,1,1,1,1
84,1,0,1,1,1,0
85,1,0,1,1,0,0
86,1,0,1,0,0,0
87,1,0,0,0,0,0
88,1,0,0,0,0,0
89,1,0,0,0,0,0
90,1,0,0,0,0,0
91,1,0,0,0,0,0
92,1,0,0,0,0,0
93,1,0,0,0,0,0
94,1,0,0,0,0,0
95,1,0,0,0,0,0
96,1,0,0,0,0,0
97,1,0,0,0,0,0
98,1,0,0,0,0,0
99,1,0,0,0,0,0
100,1,0,0,0,0,0
101,1,0,0,0,0,0
102,1,0,0,0,0,0
103,1,0,0,0,0,0
104,1,0,0,0,0,0
105,1,0,0,0,0,0
106,1,0,0,0,0,0
107,1,0,0,0,0,0
108,1,0,0,0,0,0
109,1,0,0,0,0,0
110,1,0,0,0,0,0
111,1,0,0,0,0,0
112,1,0,0,0,0,0
113,1,0,0,0,0,0
114,1,0,0,0,0,0
115,1,0,0,0,0,0
116,1,0,0,0,0,0
117,1,0,0,0,0,0
118,1,0,0,0,0,0
119,1,0,0,0,0,0
120,1,0,0,0,0,0
121,1,0,0,0,0,0
122,1,0,0,0,0,0
123,1,0,0,0,0,0
124,1,0,0,0,0,0
125,1,0,0,0,0,0
126,1,0,0,0,0,0
127,1,0,0,0,0,0
128,1,0,0,0,0,0
129,1,0,0,0,0,0
130,1,0,0,0,0,0
131,1,0,0,0,0,0
132,1,0,0,0,0,0
133,1,0,0,0,0,0
134,1,0,0,0,0,0
135,1,0,0,0,0,0
136,1,0,0,0,0,0
137,1,0,0,0,0,0
138,1,0,0,0,0,0
139,1,0,0,0,0,0
140,1,0,0,0,0,0
141,1,0,0,0,0,0
142,1,0,0,0,0,0
143,1,0,0,0,0,0
144,1,0,0,0,0,0
1,2,0,0,0,0,0
2,2,0,0,0,0,0
3,2,0,0,0,0,0
4,2,0,0,0,0,0
5,2,0,0,0,0,0
6,2,0,0,0,0,0
7,2,0,0,0,0,0
8,2,0,0,0,0,0
9,2,0,0,0,0,0
10,2,0,0,0,0,0
11,2,0,0,0,0,0
12,2,0,0,0,0,0
13,2,0,0,0,0,0
14,2,0,0,0,0,0
15,2,0,0,0,0,0
16,2,0,0,0,0,0
17,2,0,0,0,0,0
18,2,0,0,0,0,0
19,2,0,0,0,0,0
20,2,0,0,0,0,0
21,2,0,0,0,0,0
22,2,0,0,0,0,0
23,2,0,0,0,0,0
24,2,0,0,0,0,0
25,2,0,0,0,0,0
26,2,0,0,0,0,0
27,2,0,0,0,0,0
28,2,0,0,0,0,0
29,2,0,0,0,0,0
30,2,0,0,0,0,0
31,2,0,0,0,0,0
32,2,0,0,0,0,0
33,2,0,0,0,0,0
34,2,0,0,0,0,0
35,2,0,0,0,0,0
36,2,0,0,0,0,0
37,2,0,0,0,0,0
38,2,0,0,0,0,0
39,2,0,0,0,0,0
40,2,0,0,0,0,0
41,2,0,0,0,0,0
42,2,0,0,0,0,0
43,2,0,0,0,0,0
44,2,0,0,0,0,0
45,2,0,0,0,0,1
46,2,0,0,0,1,1
47,2,0,0,1,1,1
48,2,0,1,1,1,1
49,2,0,1,1,1,1
50,2,0,1,1,1,1
51,2,0,1,1,1,1
52,2,0,1,1,1,0
53,2,0,1,1,0,0
54,2,0,1,0,0,0
55,2,0,0,0,0,0
56,2,0,0,0,0,0
57,2,0,0,0,0,0
58,2,0,0,0,0,0
59,2,0,0,0,0,0
60,2,0,0,0,0,0
61,2,0,0,0,0,0
62,2,0,0,0,0,0
63,2,0,0,0,0,1
64,2,0,0,0,1,1
65,2,0,0,1,1,0
66,2,0,1,1,0,0
67,2,0,1,0,0,0
68,2,0,0,0,0,0
69,2,0,0,0,0,0
70,2,0,0,0,0,0
71,2,0,0,0,0,1
72,2,0,0,0,1,1
73,2,0,0,1,1,1
74,2,0,1,1,1,1
75,2,0,1,1,1,0
76,2,0,1,1,0,0
77,2,0,1,0,0,0
78,2,0,0,0,0,0
79,2,0,0,0,0,0
80,2,0,0,0,0,0
81,2,0,0,0,0,0
82,2,0,0,0,0,0
83,2,0,0,0,0,0
84,2,0,0,0,0,0
85,2,0,0,0,0,0
86,2,0,0,0,0,0
87,2,0,0,0,0,0
88,2,0,0,0,0,0
89,2,0,0,0,0,0
90,2,0,0,0,0,0
91,2,0,0,0,0,0
92,2,0,0,0,0,0
93,2,0,0,0,0,0
94,2,0,0,0,0,0
95,2,0,0,0,0,0
96,2,0,0,0,0,0
97,2,0,0,0,0,0
98,2,0,0,0,0,0
99,2,0,0,0,0,0
100,2,0,0,0,0,0
101,2,0,0,0,0,0
102,2,0,0,0,0,0
103,2,0,0,0,0,0
104,2,0,0,0,0,0
105,2,0,0,0,0,0
106,2,0,0,0,0,0
107,2,0,0,0,0,0
108,2,0,0,0,0,0
109,2,0,0,0,0,0
110,2,0,0,0,0,0
111,2,0,0,0,0,0
112,2,0,0,0,0,0
113,2,0,0,0,0,0
114,2,0,0,0,0,0
115,2,0,0,0,0,0
116,2,0,0,0,0,0
117,2,0,0,0,0,0
118,2,0,0,0,0,0
119,2,0,0,0,0,0
120,2,0,0,0,0,0
121,2,0,0,0,0,0
122,2,0,0,0,0,0
123,2,0,0,0,0,0
124,2,0,0,0,0,0
125,2,0,0,0,0,0
126,2,0,0,0,0,0
127,2,0,0,0,0,0
128,2,0,0,0,0,0
129,2,0,0,0,0,0
130,2,0,0,0,0,0
131,2,0,0,0,0,0
132,2,0,0,0,0,0
133,2,0,0,0,0,0
134,2,0,0,0,0,0
135,2,0,0,0,0,0
136,2,0,0,0,0,0
137,2,0,0,0,0,0
138,2,0,0,0,0,0
139,2,0,0,0,0,0
140,2,0,0,0,0,0
141,2,0,0,0,0,0
142,2,0,0,0,0,0
143,2,0,0,0,0,0
144,2,0,0,0,0,0
1,3,0,0,0,0,0
2,3,0,0,0,0,0
3,3,0,0,0,0,0
4,3,0,0,0,0,0
5,3,0,0,0,0,0
6,3,0,0,0,0,0
7,3,0,0,0,0,0
8,3,0,0,0,0,0
9,3,0,0,0,0,0
10,3,0,0,0,0,0
11,3,0,0,0,0,0
12,3,0,0,0,0,0
13,3,0,0,0,0,0
14,3,0,0,0,0,0
15,3,0,0,0,0,0
16,3,0,0,0,0,0
17,3,0,0,0,0,0
18,3,0,0,0,0,0
19,3,0,0,0,0,0
20,3,0,0,0,0,0
21,3,0,0,0,0,0
22,3,0,0,0,0,0
23,3,0,0,0,0,0
24,3,0,0,0,0,0
25,3,0,0,0,0,0
26,3,0,0,0,0,0
27,3,0,0,0,0,0
28,3,0,0,0,0,0
29,3,0,0,0,0,0
30,3,0,0,0,0,0
31,3,0,0,0,0,0
32,3,0,0,0,0,0
33,3,0,0,0,0,0
