CPID,Latitude,Longitude,Type,Address
50240,56.46154133,-2.966638618,Fast,"Gellatly Street, Dundee, DD1 3RB"
50274,56.46149716,-2.96647828,Fast,"Gellatly Street, Dundee, DD1 3RB"
50630,56.4587869,-2.981789974,Fast,"Temple Lane, Dundee, DD1 4HN"
50874,56.47261582,-2.973178041,Fast,"Isla Street, Dundee, DD3 7HT"
50875,56.4725685,-2.973004185,Fast,"Isla Street, Dundee, DD3 7HT"
50876,56.47252923,-2.972853697,Fast,"Isla Street, Dundee, DD3 7HT"
50877,56.47248923,-2.97264866,Fast,"Isla Street, Dundee, DD3 7HT"
50878,56.47243702,-2.97248626,Fast,"Isla Street, Dundee, DD3 7HT"
50884,56.46983341,-3.057191231,Fast,"3 Explorer Road, Dundee, DED2 1EG"
50908,56.46297438,-2.966068959,Fast,"Trades Lane, Dundee, DD1 2ER"
50909,56.45907815,-2.977267895,Fast,"South Tay Street, Dundee, DD1 1PF"
50910,56.46024694,-2.966793953,Fast,"Dock Street, Dundee, DD1 3DR"
51062,56.45677168,-3.068633303,Fast,Invergowrie
51086,56.4568153,-2.977853701,Fast,"Perth Road, Dundee, DD1 4LN"
51087,56.46777532,-2.873360882,Fast,"Queen Street, Broughty Ferry, DD5 2HG"
51132,56.45494891,-2.98428812,Fast,"Roseangle, Dundee, DD1 4LS"
51241,56.48588707,-2.89249497,Fast,"Baldovie Road Dundee, DD4 8UQ"
51344,56.46238032,-3.016417028,Fast,"Elliot Road, Dundee, DD2 1SP"
