CPID,Latitude,Longitude,Type,Address
2234,56.47572713,-3.047990375,Slow,"61 Myrekirk Road, Dundee, DD2 4WB"
50230,56.47296831,-3.002456461,Slow,"34 Harefield Road, Dundee, DD2 3JW"
50232,56.47827529,-2.986253362,Slow,"Clepington Road, Dundee, DD3 8PL"
50234,56.47826452,-2.986113474,Slow,"Clepington Road, Dundee, DD3 8PL"
50236,56.47824408,-2.985960863,Slow,"Clepington Road, Dundee, DD3 8PL"
50238,56.47822142,-2.985820666,Slow,"Clepington Road, Dundee, DD3 8PL"
50243,56.4600458,-2.969764364,Slow,"Crichton Street, Dundee, DD1 3AJ"
50261,56.46394318,-2.992652763,Slow,"Mitchell Street, Dundee, DD2 2LJ"
50262,56.46387843,-2.992575925,Slow,"Mitchell Street, Dundee, DD2 2LJ"
50263,56.48972199,-2.91751567,Slow,Lothian Crescent
50264,56.48982926,-2.917475296,Slow,Lothian Crescent
50265,56.48710221,-3.003684259,Slow,"Rannoch Road, Dundee, DD3 8RB"
50266,56.46548131,-3.035287,Slow,"Earn Crescent, Dundee, DD2 4DG"
50267,56.49601845,-2.947257247,Slow,"Jack Martin Way, Dundee, DD4 9FF"
50268,56.47327245,-3.011614616,Slow,"1B Sinclair Street, Dundee, DD2 3BW"
50269,56.48222221,-2.935811882,Slow,"169 Pitkerro Rodd, Dundee, DD4 8ES"
50270,56.4782047,-2.985680624,Slow,"Clepington Road, Dundee, DD3 8PL"
50271,56.47818799,-2.985540582,Slow,"Clepington Road, Dundee, DD3 8PL"
50271,56.47814318,-2.985195768,Slow,"Clepington Road, Dundee, DD3 8PL"
50272,56.47816541,-2.985389649,Slow,"Clepington Road, Dundee, DD3 8PL"
50349,56.45672603,-2.973511103,Slow,"18 Greenmarket, Dundee, DD1 4QB"
50373,56.47796824,-2.913471531,Slow,"Banchory Road, Dundee, DD4 7TQ"
50522,56.47271876,-3.002449873,Slow,"34 Harefield Road, Dundee, DD2 3JW"
50523,56.47283759,-3.00245301,Slow,"34 Harefield Road, Dundee, DD2 3JW"
50548,56.46999414,-2.910300665,Slow,"Belsize House, Belsize Road, DD5 1NF"
50549,56.47083197,-3.055854311,Slow,Explorer Road
50562,56.4788597,-2.922165442,Slow,"Douglas Road, Dundee, DD4 7RH"
50565,56.45563168,-3.024181427,Slow,"2 Riverside Drive, Dundee, DD2 1QH"
50675,56.46355616,-2.962498196,Slow,"East Whale Lane, Dundee, DD1 3JU"
50676,56.46364454,-2.962597049,Slow,"East Whale Lane, Dundee, DD1 3JU"
50677,56.46375676,-2.962685771,Slow,"East Whale Lane, Dundee, DD1 3JU"
50789,56.47847573,-2.94163689,Slow,"112 Kingsway East, Dundee, DD4 8ED"
50800,56.47218453,-2.911969695,Slow,"94 Gardyne Road, Dundee"
50840,56.48838239,-3.014352526,Slow,"East Scotscraig Lane, Dundee, DD2 3TP"
50841,56.47016332,-2.920663615,Slow,"30 Brington Place, Dundee, DD4 7QF"
50842,56.46543565,-3.035060314,Slow,"Earn Crescent, Dundee"
50843,56.46826957,-3.005973737,Slow,"Morven Terrace, Dundee, DD2 2JU"
51085,56.47296514,-3.011192798,Slow,"1B Sinclair Street, DD2 3BW"
51198,56.46016446,-2.975911151,Slow,"West Marketgait Dundee, DD1 1QA"
51199,56.46011217,-2.975759533,Slow,"West Marketgait Dundee, DD1 1QA"
51200,56.46005394,-2.975607762,Slow,"West Marketgait Dundee, DD1 1QA"
51201,56.46001345,-2.975467182,Slow,"West Marketgait Dundee, DD1 1QA"
51202,56.45996701,-2.975326449,Slow,"West Marketgait Dundee, DD1 1QA"
51203,56.46021098,-2.976041154,Slow,"West Marketgait Dundee, DD1 1QA"
51229,56.4688795,-2.975158015,Slow,Rosebank Street
51355,56.48444556,-2.975085931,Slow,"Old Glaims Road, Dundee, DD3 8LE"
Unknown,56.48432928,-2.975113907,Slow,"Old Glaims Road, Dundee, DD3 8LE"
,56.47946054,-2.90444341,Slow,"Balmoral Avenue, Dundee, DD4 8UY"
